Order ID,Order Date,Month,Customer ID,Region,Channel,Category,Product,Quantity,Unit Price,Unit Cost,Discount,Revenue,Cost,Profit,Rating,Returned
ORD-00061,2024-01-01,2024-01,CUS-0372,North West,Marketplace,Books,Business Intelligence Guide,2,35.43,12,0,70.86,24,46.86,5,No
ORD-00843,2024-01-01,2024-01,CUS-0442,Wales,Store,Electronics,Bluetooth Speaker,5,62.99,34,0.05,299.2,170,129.2,5,No
ORD-01396,2024-01-02,2024-01,CUS-0049,North East,Online,Home,Air Fryer,2,125.9,69,0.15,214.03,138,76.03,3.8,No
ORD-01641,2024-01-03,2024-01,CUS-0373,Wales,Online,Electronics,Smart Watch,1,164.23,92,0.1,147.81,92,55.81,3.5,No
ORD-00351,2024-01-03,2024-01,CUS-0042,Scotland,Online,Books,Data Analytics Handbook,4,40.61,14,0.15,138.07,56,82.07,4.3,No
ORD-00066,2024-01-04,2024-01,CUS-0122,Wales,Marketplace,Sports,Running Shoes,3,79.56,38,0.1,214.81,114,100.81,4.1,No
ORD-00211,2024-01-04,2024-01,CUS-0595,Midlands,Store,Home,Coffee Maker,2,71.88,41,0,143.76,82,61.76,4.4,No
ORD-00949,2024-01-06,2024-01,CUS-0257,North East,Store,Beauty,Hair Dryer,4,61.65,29,0.05,234.27,116,118.27,5,No
ORD-01390,2024-01-06,2024-01,CUS-0391,North West,Online,Books,Business Intelligence Guide,1,35.16,12,0.1,31.64,12,19.64,5,Yes
ORD-01564,2024-01-06,2024-01,CUS-0191,North West,Marketplace,Sports,Running Shoes,2,76.83,38,0.15,130.61,76,54.61,4.7,No
ORD-00304,2024-01-06,2024-01,CUS-0365,Wales,Online,Home,Coffee Maker,5,78.12,41,0.05,371.07,205,166.07,3.3,No
ORD-01526,2024-01-07,2024-01,CUS-0109,Wales,Online,Electronics,Smart Watch,2,162.19,92,0,324.38,184,140.38,3.9,No
ORD-01406,2024-01-08,2024-01,CUS-0593,London,Marketplace,Electronics,Smart Watch,3,167.71,92,0.1,452.82,276,176.82,3.9,No
ORD-00184,2024-01-08,2024-01,CUS-0052,North West,Store,Fashion,Classic Trainers,5,69.19,32,0,345.95,160,185.95,4.2,No
ORD-00681,2024-01-08,2024-01,CUS-0493,Wales,Marketplace,Sports,Running Shoes,4,79.19,38,0.05,300.92,152,148.92,3.9,No
ORD-00467,2024-01-09,2024-01,CUS-0103,Scotland,Online,Fashion,Winter Jacket,3,98.31,46,0.1,265.44,138,127.44,3.5,No
ORD-01692,2024-01-10,2024-01,CUS-0420,London,Store,Sports,Yoga Mat,2,31.19,12,0,62.38,24,38.38,3.5,Yes
ORD-00683,2024-01-10,2024-01,CUS-0322,South East,Online,Sports,Fitness Tracker,3,57.16,27,0.15,145.76,81,64.76,4.7,Yes
ORD-01795,2024-01-10,2024-01,CUS-0244,North West,Marketplace,Sports,Yoga Mat,2,28.51,12,0.1,51.32,24,27.32,4.8,No
ORD-01404,2024-01-11,2024-01,CUS-0207,Midlands,Store,Books,Data Analytics Handbook,4,41.18,14,0,164.72,56,108.72,4.2,No
ORD-00932,2024-01-11,2024-01,CUS-0529,Wales,Store,Sports,Fitness Tracker,1,55.35,27,0.1,49.82,27,22.82,3.5,No
ORD-01028,2024-01-11,2024-01,CUS-0339,Wales,Online,Electronics,Smart Watch,2,152.01,92,0.2,243.22,184,59.22,3.5,No
ORD-00194,2024-01-12,2024-01,CUS-0293,Midlands,Store,Fashion,Classic Trainers,5,69.53,32,0.1,312.89,160,152.89,4.3,Yes
ORD-00432,2024-01-12,2024-01,CUS-0420,London,Online,Electronics,Smart Watch,3,159.61,92,0,478.83,276,202.83,3.2,No
ORD-00610,2024-01-12,2024-01,CUS-0560,South West,Online,Sports,Yoga Mat,3,28.9,12,0.15,73.69,36,37.69,5,Yes
ORD-00698,2024-01-12,2024-01,CUS-0567,Midlands,Store,Fashion,Classic Trainers,3,69.37,32,0.15,176.89,96,80.89,4.2,No
ORD-00886,2024-01-12,2024-01,CUS-0133,South West,Online,Sports,Fitness Tracker,2,54.97,27,0.15,93.45,54,39.45,5,Yes
ORD-01317,2024-01-13,2024-01,CUS-0176,London,Store,Beauty,Skin Care Set,4,45.68,18,0.05,173.58,72,101.58,5,No
ORD-01141,2024-01-13,2024-01,CUS-0472,Wales,Online,Books,Data Analytics Handbook,3,38.75,14,0.15,98.81,42,56.81,3.2,No
ORD-01427,2024-01-13,2024-01,CUS-0169,Wales,Online,Beauty,Hair Dryer,3,57.52,29,0,172.56,87,85.56,4.8,No
ORD-01474,2024-01-13,2024-01,CUS-0065,Scotland,Marketplace,Sports,Fitness Tracker,4,56.35,27,0,225.4,108,117.4,4.1,No
ORD-01492,2024-01-14,2024-01,CUS-0358,North East,Marketplace,Electronics,Smart Watch,3,154.61,92,0,463.83,276,187.83,5,No
ORD-00100,2024-01-14,2024-01,CUS-0364,Midlands,Store,Beauty,Skin Care Set,4,46.22,18,0,184.88,72,112.88,3.5,No
ORD-00721,2024-01-14,2024-01,CUS-0438,North East,Marketplace,Beauty,Skin Care Set,1,42.92,18,0.1,38.63,18,20.63,4.6,No
ORD-01446,2024-01-14,2024-01,CUS-0486,Scotland,Store,Home,Coffee Maker,5,71.69,41,0,358.45,205,153.45,4.2,No
ORD-00313,2024-01-14,2024-01,CUS-0452,Scotland,Online,Beauty,Skin Care Set,5,46.99,18,0,234.95,90,144.95,5,No
ORD-00995,2024-01-15,2024-01,CUS-0281,South West,Store,Electronics,Bluetooth Speaker,2,63.12,34,0,126.24,68,58.24,3.5,No
ORD-01484,2024-01-15,2024-01,CUS-0359,Midlands,Store,Beauty,Hair Dryer,5,57.7,29,0,288.5,145,143.5,3.8,No
ORD-01569,2024-01-15,2024-01,CUS-0036,North East,Online,Electronics,Wireless Headphones,1,85.85,48,0.2,68.68,48,20.68,5,No
ORD-00395,2024-01-15,2024-01,CUS-0154,Scotland,Marketplace,Home,Desk Lamp,4,34.59,17,0.05,131.44,68,63.44,3.8,No
ORD-00362,2024-01-15,2024-01,CUS-0152,North East,Online,Sports,Yoga Mat,2,29.21,12,0,58.42,24,34.42,3.9,No
ORD-01359,2024-01-16,2024-01,CUS-0050,North East,Marketplace,Sports,Fitness Tracker,5,57.61,27,0.05,273.65,135,138.65,5,No
ORD-00858,2024-01-18,2024-01,CUS-0263,South East,Marketplace,Home,Desk Lamp,2,33.8,17,0.05,64.22,34,30.22,4.5,No
ORD-01158,2024-01-18,2024-01,CUS-0184,South West,Marketplace,Home,Desk Lamp,3,33.41,17,0,100.23,51,49.23,3.8,No
ORD-01636,2024-01-19,2024-01,CUS-0255,North East,Marketplace,Sports,Fitness Tracker,3,53.64,27,0.15,136.78,81,55.78,4.6,No
ORD-00514,2024-01-19,2024-01,CUS-0034,North West,Store,Electronics,Wireless Headphones,5,86.34,48,0,431.7,240,191.7,4.7,No
ORD-00574,2024-01-20,2024-01,CUS-0246,South East,Online,Home,Desk Lamp,1,34.3,17,0.15,29.15,17,12.15,4.9,No
ORD-01643,2024-01-20,2024-01,CUS-0030,Wales,Online,Books,Data Analytics Handbook,4,41.1,14,0,164.4,56,108.4,4.8,No
ORD-01527,2024-01-20,2024-01,CUS-0394,North West,Online,Books,Data Analytics Handbook,4,39.08,14,0,156.32,56,100.32,4.8,No
ORD-00244,2024-01-21,2024-01,CUS-0515,Midlands,Marketplace,Electronics,Bluetooth Speaker,4,64.05,34,0.15,217.77,136,81.77,4.5,No
ORD-01739,2024-01-21,2024-01,CUS-0065,Wales,Marketplace,Books,Data Analytics Handbook,5,41.49,14,0,207.45,70,137.45,3.6,No
ORD-01052,2024-01-21,2024-01,CUS-0601,Wales,Store,Home,Desk Lamp,3,36.5,17,0.2,87.6,51,36.6,4.9,No
ORD-00415,2024-01-21,2024-01,CUS-0158,South East,Marketplace,Home,Desk Lamp,4,35.06,17,0.2,112.19,68,44.19,4.5,Yes
ORD-00443,2024-01-22,2024-01,CUS-0103,North East,Marketplace,Sports,Running Shoes,3,81.77,38,0.15,208.51,114,94.51,4.5,No
ORD-01457,2024-01-22,2024-01,CUS-0493,South West,Marketplace,Books,Data Analytics Handbook,4,38.94,14,0,155.76,56,99.76,4.7,No
ORD-01342,2024-01-22,2024-01,CUS-0053,Wales,Marketplace,Sports,Yoga Mat,2,30.86,12,0.2,49.38,24,25.38,4.1,No
ORD-00627,2024-01-22,2024-01,CUS-0083,Scotland,Marketplace,Home,Air Fryer,4,121.13,69,0,484.52,276,208.52,3.3,No
ORD-00633,2024-01-22,2024-01,CUS-0391,South West,Online,Home,Coffee Maker,1,72.39,41,0,72.39,41,31.39,4.7,No
ORD-00376,2024-01-23,2024-01,CUS-0614,North East,Online,Sports,Yoga Mat,1,28.75,12,0.05,27.31,12,15.31,4.8,No
ORD-00383,2024-01-23,2024-01,CUS-0285,South West,Marketplace,Sports,Fitness Tracker,2,55.01,27,0,110.02,54,56.02,5,No
ORD-01623,2024-01-23,2024-01,CUS-0050,North West,Store,Sports,Yoga Mat,1,28.61,12,0.1,25.75,12,13.75,3.3,No
ORD-00426,2024-01-24,2024-01,CUS-0342,South West,Marketplace,Electronics,Wireless Headphones,4,86.47,48,0.05,328.59,192,136.59,5,No
ORD-00001,2024-01-24,2024-01,CUS-0013,Wales,Store,Books,Business Intelligence Guide,3,35,12,0.1,94.5,36,58.5,3.9,No
ORD-00696,2024-01-24,2024-01,CUS-0440,North East,Online,Sports,Running Shoes,5,79.71,38,0.05,378.62,190,188.62,4,No
ORD-01538,2024-01-24,2024-01,CUS-0065,South East,Online,Books,Business Intelligence Guide,2,34.56,12,0,69.12,24,45.12,4.7,Yes
ORD-00940,2024-01-25,2024-01,CUS-0508,Midlands,Store,Sports,Yoga Mat,5,31.34,12,0.2,125.36,60,65.36,4.3,No
ORD-01388,2024-01-25,2024-01,CUS-0303,Wales,Marketplace,Books,Data Analytics Handbook,1,38.06,14,0.15,32.35,14,18.35,4.7,No
ORD-00472,2024-01-25,2024-01,CUS-0444,Midlands,Marketplace,Fashion,Classic Trainers,2,72.89,32,0,145.78,64,81.78,3.4,No
ORD-00916,2024-01-26,2024-01,CUS-0091,Midlands,Marketplace,Electronics,Wireless Headphones,2,87.72,48,0.15,149.12,96,53.12,4.3,No
ORD-00771,2024-01-26,2024-01,CUS-0075,North East,Online,Sports,Fitness Tracker,2,52.46,27,0,104.92,54,50.92,4.1,No
ORD-00429,2024-01-26,2024-01,CUS-0481,South West,Store,Beauty,Hair Dryer,1,59.35,29,0.2,47.48,29,18.48,4.6,Yes
ORD-01002,2024-01-26,2024-01,CUS-0274,South West,Online,Electronics,Bluetooth Speaker,1,63.83,34,0.05,60.64,34,26.64,3.5,No
ORD-01616,2024-01-27,2024-01,CUS-0064,South West,Online,Electronics,Wireless Headphones,1,89.79,48,0.1,80.81,48,32.81,5,No
ORD-01207,2024-01-27,2024-01,CUS-0031,North West,Marketplace,Home,Air Fryer,3,122.3,69,0,366.9,207,159.9,3.6,No
ORD-00906,2024-01-29,2024-01,CUS-0380,Midlands,Store,Fashion,Backpack,1,49.31,21,0,49.31,21,28.31,3.4,No
